ID,Slug,Name,PublicationStatus,Indexable,EngineIdentifier,EngineExists,UIComponentExists,ClaimsAuditMethod,SitemapIncluded,InboundRelatedToolLinks,PreviousEngineVerifiedFlag,FinalDisposition,ReviewerNotes
json-formatter,json-formatter,"JSON Formatter",published,true,JsonFormatterTool,YES,YES,"Previously individually verified",YES,7,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
regex-tester,regex-tester,"Regex Tester",published,true,RegexTesterTool,YES,YES,"Previously individually verified",YES,3,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
base64-encode,base64-encode,"Base64 Encoder",published,true,Base64Tool,YES,YES,"Previously individually verified",YES,2,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
base64-decode,base64-decode,"Base64 Decoder",published,true,Base64Tool,YES,YES,"Previously individually verified",YES,2,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
url-encode,url-encode,"URL Encoder",published,true,UrlEncoderTool,YES,YES,"Previously individually verified",YES,4,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
url-decode,url-decode,"URL Decoder",published,true,UrlEncoderTool,YES,YES,"Previously individually verified",YES,2,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
hash-generator,hash-generator,"Hash Generator",published,true,HashGeneratorTool,YES,YES,"Previously individually verified",YES,4,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
password-generator,password-generator,"Password Generator",published,true,PasswordGeneratorTool,YES,YES,"Previously individually verified",YES,2,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
uuid-generator,uuid-generator,"UUID v4 Generator",published,true,UuidGeneratorTool,YES,YES,"Previously individually verified",YES,2,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
jwt-decoder,jwt-decoder,"JWT Decoder",published,true,JwtDecoderTool,YES,YES,"Previously individually verified",YES,1,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
xml-sitemap-generator,xml-sitemap-generator,"XML Sitemap Generator",published,true,SitemapGeneratorTool,YES,YES,"Previously individually verified",YES,3,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
robots-txt-generator,robots-txt-generator,"robots.txt Generator",published,true,RobotsTxtGeneratorTool,YES,YES,"Previously individually verified",YES,1,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
meta-tag-generator,meta-tag-generator,"Meta Tag Generator",published,true,MetaTagGeneratorTool,YES,YES,"Previously individually verified",YES,2,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
cron-generator,cron-generator,"Cron Expression Generator",published,true,CronGeneratorTool,YES,YES,"Previously individually verified",YES,1,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
sql-formatter,sql-formatter,"SQL Formatter",published,true,SqlFormatterTool,YES,YES,"Previously individually verified",YES,0,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
html-minifier,html-minifier,"HTML Minifier",published,true,HtmlMinifierTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
css-minifier,css-minifier,"CSS Minifier",published,true,CssMinifierTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
word-counter,word-counter,"Word Counter",published,true,WordCounterTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,3,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
slug-generator,slug-generator,"URL Slug Generator",published,true,SlugGeneratorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,5,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
qr-code-generator,qr-code-generator,"QR Code Generator",published,true,QrCodeGeneratorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
email-validator,email-validator,"Email Validator",published,true,EmailValidatorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,3,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
json-to-csv,json-to-csv,"JSON to CSV Converter",published,true,JsonToCsvTool,YES,YES,"Previously individually verified",YES,3,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
csv-to-json,csv-to-json,"CSV to JSON Converter",published,true,CsvToJsonTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
json-minify,json-minify,"JSON Minifier",published,true,JsonFormatterTool,YES,YES,"Previously individually verified",YES,2,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
json-validator,json-validator,"JSON Validator",published,true,JsonFormatterTool,YES,YES,"Previously individually verified",YES,6,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
json-to-yaml,json-to-yaml,"JSON to YAML Converter",published,true,JsonToYamlTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
yaml-to-json,yaml-to-json,"YAML to JSON Converter",published,true,YamlToJsonTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
regex-builder,regex-builder,"Regex Builder",published,true,RegexBuilderTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
regex-explainer,regex-explainer,"Regex Explainer",published,true,RegexExplainerTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
sha256-hash,sha256-hash,"SHA-256 Hash Generator",published,true,HashGeneratorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
md5-hash,md5-hash,"MD5 Hash Generator",published,true,HashGeneratorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
cron-parser,cron-parser,"Cron Expression Parser",published,true,CronGeneratorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
jwt-encoder,jwt-encoder,"JWT Encoder",published,true,JwtEncoderTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
utm-builder,utm-builder,"UTM Builder",published,true,UtmBuilderTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,0,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
bulk-url-extractor,bulk-url-extractor,"Bulk URL Extractor",published,true,BulkUrlExtractorTool,YES,YES,"Previously individually verified",YES,2,true,ACTIVATE (engineVerified=true),"Pre-existing engineVerified=true, unchanged"
js-minifier,js-minifier,"JavaScript Minifier",published,true,JsMinifierTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
yaml-validator,yaml-validator,"YAML Validator",published,true,YamlValidatorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,4,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
xml-validator,xml-validator,"XML Validator",published,true,XmlValidatorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,0,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
toml-validator,toml-validator,"TOML Validator",published,true,TomlValidatorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
diff-tool,diff-tool,"Text Diff Tool",published,true,DiffTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
case-converter,case-converter,"Case Converter",published,true,CaseConverterTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
markdown-editor,markdown-editor,"Markdown Editor",published,true,MarkdownEditorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
table-generator,table-generator,"Markdown Table Generator",published,true,MarkdownTableGeneratorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,0,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
color-converter,color-converter,"Color Converter",published,true,ColorConverterTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,4,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
color-palette,color-palette,"Color Palette Generator",published,true,ColorPaletteTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
barcode-generator,barcode-generator,"Barcode Generator",published,true,BarcodeGeneratorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
random-string,random-string,"Random String Generator",published,true,RandomStringTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,4,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
random-number,random-number,"Random Number Generator",published,true,RandomNumberTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,0,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
