tier,cluster,keyword_or_query,intent,target_route,recommended_placement,status
0,Brand / entity,XFree,Navigational,/,Title H1 body anchors,approved
0,Brand / entity,X Free,Navigational,/,Body supporting copy,approved
0,Brand / entity,XFree.in,Navigational,/,Entity references,approved
0,Brand / entity,XFree app,Navigational,/,Title body FAQ,approved
0,Brand / entity,XFree tools,Navigational,/,H1 H2 body anchors,approved
0,Brand / entity,XFree online tools,Navigational,/,Body anchors,approved
0,Brand / entity,XFree developer tools,Navigational,/,Title H1 body anchors,approved
0,Brand / entity,XFree SEO tools,Navigational,/,Body category anchors,approved
0,Brand / entity,XFree AI tools,Navigational,/,Body category anchors,approved
0,Brand / entity,XFree privacy-first tools,Navigational,/,Body FAQ,scoped
0,Brand / entity,XFree micro tools suite,Navigational,/,Body supporting copy,approved
0,Brand / entity,XFree Studio,Navigational,https://app.xfree.in/,CTA anchors,approved
0,Brand / entity,XFree free tools no signup,Navigational,/,Body FAQ,approved
1,Homepage core,free developer tools,Commercial discovery,/,Title H1 lead,approved
1,Homepage core,free SEO tools,Commercial discovery,/,Lead category section,approved
1,Homepage core,browser-based developer tools,Commercial discovery,/,Lead H2 body,approved
1,Homepage core,privacy-first developer tools,Commercial discovery,/,Body trust section,scoped
1,Homepage core,no signup developer tools,Commercial discovery,/,Title lead FAQ,approved
1,Homepage core,browser tools for developers,Commercial discovery,/,Lead body,approved
1,Homepage core,Local Mode developer tools,Commercial discovery,/,Trust section,approved
1,Homepage core,open-source developer utilities,Commercial discovery,/,Body footer,approved
1,Homepage core,developer micro-tools,Commercial discovery,/,Body,approved
1,Homepage core,SEO micro-tools,Commercial discovery,/,Body,approved
1,Homepage core,free browser utilities,Commercial discovery,/,Body,approved
2,Access modifier,free,Modifier,tool/category dependent,Title body FAQ,approved
2,Access modifier,no signup,Modifier,tool/category dependent,Title body FAQ,approved
2,Access modifier,no login,Modifier,tool/category dependent,Body FAQ,approved
2,Access modifier,no account,Modifier,tool/category dependent,Body trust copy,approved
2,Access modifier,online,Modifier,tool/category dependent,Body only when useful,approved
2,Execution modifier,browser-based,Modifier,tool/category dependent,Title body FAQ,approved
2,Execution modifier,in-browser,Modifier,tool/category dependent,Body FAQ,approved
2,Execution modifier,Local Mode,Modifier,tool/category dependent,Trust badge body,approved
2,Execution modifier,client-side,Modifier,tool/category dependent,Tool copy only when proven,scoped
